Код строки	Оператор	Вид отхода	Маршрут	Подрядчик	Контейнерная площадка	Район обслуживания	Адрес КП	Блок, квартира	Время вывоза	Всего контейнеров	Количество по факту вывоза	Вид контейнера	Вид вывоза бункера	Категория операции	Комментарий	Информация водителю	Приостановлен	Расторгнут	Обратить внимание	По дням недели	пн	вт	ср	чт	пт	сб	вс	1-я нед.	2-я нед.	3-я нед.	4-я нед.	5-я нед.	1 вс	2 пн	3 вт	4 ср	5 чт	6 пт	7 сб	8 вс	9 пн	10 вт	11 ср	12 чт	13 пт	14 сб	15 вс	16 пн	17 вт	18 ср	19 чт	20 пт	21 сб	22 вс	23 пн	24 вт	25 ср	26 чт	27 пт	28 сб	29 вс	30 пн	31 вт	Ответственный	Дата строки
22 651	Чистый двор	Прочее	НеТКОверхЧ		П-1212	приокский район	Ближнее Борисово с., Центральная ул.35/1			1	Нет	8 м3	Заменить на пустой		ОКА	ЗЕЛЕНЬ-НН,89990754858	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет				1		1					1					1				1					1							Миронов Роман Владимирович	23.12.2019 15:16:24
18 937	Чистый двор	Прочее	НеТКОверхЧ		П-1049	приокский район	Богородский р-н, Богородск г., Приозёрный пос.157а			1	Нет	8 м3	Заменить на пустой		РЭП	Титов М.Ю., 89534157515,89290443430	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
11 977	Чистый двор	Прочее	НеТКОнижнЧ		9403		Володарский р-н, Решетиха пгт., Пролетарская ул.1				Нет	8 м3			ОКА,БАННИКОВА	89200182307	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
35 516	РЭП-2	ТБО	НН.8		С-1930	советский район	Гагарина пр-т25Е				Нет	8 м3			по заявке	Теплоэнерго по заявке, 8-921-241-26-78	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 9:06:55
34 797	Чистый двор	Прочее	НеТКОверхЧ		С-1930	советский район	Гагарина пр-т25Е				Нет	8 м3			ОКА	89202530875	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
16 963	Чистый двор	ТБО	М4_скания		Д-495	дзержинск	Городской округ Дзержинск р-н, Гнилицкие дворики п., 19а		14:16:00	1	Нет	Подвор.сбор					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:21
16 962	Чистый двор	ТБО	М4_скания		Д-496	дзержинск	Городской округ Дзержинск р-н, Гнилицкие дворики п., 19б		14:20:00	1	Нет	Подвор.сбор					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:21
16 958	Чистый двор	ТБО	М4_скания		Д-1052	дзержинск	Городской округ Дзержинск р-н, Гнилицкие дворики п., 3		14:08:00	1	Нет	Подвор.сбор					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:21
16 961	Чистый двор	ТБО	М4_скания		Д-1069	дзержинск	Городской округ Дзержинск р-н, Гнилицкие дворики п., 5а		14:12:00	1	Нет	Подвор.сбор					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 7:30:21
35 467	Чистый двор	Прочее	НеТКОнижнЧ		Д-2714	дзержинск	Городской округ Дзержинск р-н, Желнино п., , д.				Нет	8 м3			ОКА	прибрежная зона,база химконтракт89535537369,89200317778	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 8:55:37
